4.7810 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
74.2224 	EXP 	fixation: autoDraw = False
74.2392 	EXP 	grating: autoDraw = True
74.2392 	EXP 	grating: tex = 'sin'
74.5391 	EXP 	grating: autoDraw = False
74.6585 	EXP 	window1: recordFrameIntervals = False
74.6602 	DATA 	Keypress: right
74.6724 	EXP 	fixation: autoDraw = False
74.6724 	EXP 	grating: autoDraw = False
74.6728 	EXP 	window1: recordFrameIntervals = False
75.6479 	EXP 	fixation: autoDraw = True
76.6557 	EXP 	fixation: autoDraw = False
76.6725 	EXP 	grating: autoDraw = True
76.6725 	EXP 	grating: tex = 'sin'
76.9723 	EXP 	grating: autoDraw = False
77.1080 	EXP 	window1: recordFrameIntervals = False
77.1096 	DATA 	Keypress: right
77.1223 	EXP 	fixation: autoDraw = False
77.1223 	EXP 	grating: autoDraw = False
77.1226 	EXP 	window1: recordFrameIntervals = False
78.0973 	EXP 	fixation: autoDraw = True
79.1056 	EXP 	fixation: autoDraw = False
79.1224 	EXP 	grating: autoDraw = True
79.1224 	EXP 	grating: tex = 'sin'
79.4222 	EXP 	grating: autoDraw = False
79.5748 	EXP 	window1: recordFrameIntervals = False
79.5762 	DATA 	Keypress: right
79.5889 	EXP 	fixation: autoDraw = False
79.5889 	EXP 	grating: autoDraw = False
79.5893 	EXP 	window1: recordFrameIntervals = False
80.5641 	EXP 	fixation: autoDraw = True
81.5724 	EXP 	fixation: autoDraw = False
81.5889 	EXP 	grating: autoDraw = True
81.5889 	EXP 	grating: tex = 'sin'
81.8888 	EXP 	grating: autoDraw = False
82.0417 	EXP 	window1: recordFrameIntervals = False
82.0432 	DATA 	Keypress: right
82.0554 	EXP 	fixation: autoDraw = False
82.0554 	EXP 	grating: autoDraw = False
82.0558 	EXP 	window1: recordFrameIntervals = False
83.0313 	EXP 	fixation: autoDraw = True
84.0385 	EXP 	fixation: autoDraw = False
84.0553 	EXP 	grating: autoDraw = True
84.0553 	EXP 	grating: tex = 'sin'
84.3552 	EXP 	grating: autoDraw = False
84.3744 	EXP 	window1: recordFrameIntervals = False
84.3758 	DATA 	Keypress: left
84.3885 	EXP 	fixation: autoDraw = False
84.3885 	EXP 	grating: autoDraw = False
84.3889 	EXP 	window1: recordFrameIntervals = False
85.3658 	EXP 	fixation: autoDraw = True
86.3718 	EXP 	fixation: autoDraw = False
86.3886 	EXP 	grating: autoDraw = True
86.3886 	EXP 	grating: tex = 'sin'
86.6884 	EXP 	grating: autoDraw = False
86.7578 	EXP 	window1: recordFrameIntervals = False
86.7591 	DATA 	Keypress: right
86.7718 	EXP 	fixation: autoDraw = False
86.7718 	EXP 	grating: autoDraw = False
86.7721 	EXP 	window1: recordFrameIntervals = False
87.7477 	EXP 	fixation: autoDraw = True
88.7550 	EXP 	fixation: autoDraw = False
88.7718 	EXP 	grating: autoDraw = True
88.7718 	EXP 	grating: tex = 'sin'
89.0717 	EXP 	grating: autoDraw = False
89.1409 	EXP 	window1: recordFrameIntervals = False
89.1426 	DATA 	Keypress: left
89.1549 	EXP 	fixation: autoDraw = False
89.1549 	EXP 	grating: autoDraw = False
89.1552 	EXP 	window1: recordFrameIntervals = False
90.1302 	EXP 	fixation: autoDraw = True
91.1382 	EXP 	fixation: autoDraw = False
91.1550 	EXP 	grating: autoDraw = True
91.1550 	EXP 	grating: tex = 'sin'
91.4551 	EXP 	grating: autoDraw = False
91.5410 	EXP 	window1: recordFrameIntervals = False
91.5424 	DATA 	Keypress: right
91.5549 	EXP 	fixation: autoDraw = False
91.5549 	EXP 	grating: autoDraw = False
91.5552 	EXP 	window1: recordFrameIntervals = False
92.5309 	EXP 	fixation: autoDraw = True
93.5381 	EXP 	fixation: autoDraw = False
93.5550 	EXP 	grating: autoDraw = True
93.5550 	EXP 	grating: tex = 'sin'
93.8547 	EXP 	grating: autoDraw = False
93.9580 	EXP 	window1: recordFrameIntervals = False
93.9595 	DATA 	Keypress: left
93.9714 	EXP 	fixation: autoDraw = False
93.9714 	EXP 	grating: autoDraw = False
93.9717 	EXP 	window1: recordFrameIntervals = False
94.9470 	EXP 	fixation: autoDraw = True
95.9547 	EXP 	fixation: autoDraw = False
95.9715 	EXP 	grating: autoDraw = True
95.9715 	EXP 	grating: tex = 'sin'
96.2713 	EXP 	grating: autoDraw = False
96.4572 	EXP 	window1: recordFrameIntervals = False
96.4585 	DATA 	Keypress: right
96.4713 	EXP 	fixation: autoDraw = False
96.4713 	EXP 	grating: autoDraw = False
96.4716 	EXP 	window1: recordFrameIntervals = False
97.4448 	EXP 	fixation: autoDraw = True
98.4546 	EXP 	fixation: autoDraw = False
98.4714 	EXP 	grating: autoDraw = True
98.4714 	EXP 	grating: tex = 'sin'
98.7712 	EXP 	grating: autoDraw = False
98.9246 	EXP 	window1: recordFrameIntervals = False
98.9263 	DATA 	Keypress: left
98.9378 	EXP 	fixation: autoDraw = False
98.9378 	EXP 	grating: autoDraw = False
98.9381 	EXP 	window1: recordFrameIntervals = False
99.9126 	EXP 	fixation: autoDraw = True
100.9211 	EXP 	fixation: autoDraw = False
100.9379 	EXP 	grating: autoDraw = True
100.9379 	EXP 	grating: tex = 'sin'
101.2377 	EXP 	grating: autoDraw = False
101.4571 	EXP 	window1: recordFrameIntervals = False
101.4586 	DATA 	Keypress: right
101.4710 	EXP 	fixation: autoDraw = False
101.4710 	EXP 	grating: autoDraw = False
101.4713 	EXP 	window1: recordFrameIntervals = False
102.4497 	EXP 	fixation: autoDraw = True
103.4543 	EXP 	fixation: autoDraw = False
103.4711 	EXP 	grating: autoDraw = True
103.4711 	EXP 	grating: tex = 'sin'
103.7710 	EXP 	grating: autoDraw = False
103.9236 	EXP 	window1: recordFrameIntervals = False
103.9251 	DATA 	Keypress: right
103.9376 	EXP 	fixation: autoDraw = False
103.9376 	EXP 	grating: autoDraw = False
103.9380 	EXP 	window1: recordFrameIntervals = False
104.9122 	EXP 	fixation: autoDraw = True
105.9208 	EXP 	fixation: autoDraw = False
105.9376 	EXP 	grating: autoDraw = True
105.9376 	EXP 	grating: tex = 'sin'
106.2375 	EXP 	grating: autoDraw = False
106.3573 	EXP 	window1: recordFrameIntervals = False
106.3587 	DATA 	Keypress: left
106.3709 	EXP 	fixation: autoDraw = False
106.3709 	EXP 	grating: autoDraw = False
106.3711 	EXP 	window1: recordFrameIntervals = False
107.3498 	EXP 	fixation: autoDraw = True
108.3541 	EXP 	fixation: autoDraw = False
108.3710 	EXP 	grating: autoDraw = True
108.3710 	EXP 	grating: tex = 'sin'
108.6707 	EXP 	grating: autoDraw = False
108.7570 	EXP 	window1: recordFrameIntervals = False
108.7584 	DATA 	Keypress: left
108.7708 	EXP 	fixation: autoDraw = False
108.7708 	EXP 	grating: autoDraw = False
108.7711 	EXP 	window1: recordFrameIntervals = False
109.7471 	EXP 	fixation: autoDraw = True
110.7542 	EXP 	fixation: autoDraw = False
110.7707 	EXP 	grating: autoDraw = True
110.7707 	EXP 	grating: tex = 'sin'
111.0706 	EXP 	grating: autoDraw = False
111.1233 	EXP 	window1: recordFrameIntervals = False
111.1248 	DATA 	Keypress: right
111.1373 	EXP 	fixation: autoDraw = False
111.1373 	EXP 	grating: autoDraw = False
111.1376 	EXP 	window1: recordFrameIntervals = False
112.1135 	EXP 	fixation: autoDraw = True
113.1205 	EXP 	fixation: autoDraw = False
113.1374 	EXP 	grating: autoDraw = True
113.1374 	EXP 	grating: tex = 'sin'
113.4373 	EXP 	grating: autoDraw = False
113.6223 	EXP 	window1: recordFrameIntervals = False
113.6231 	DATA 	Keypress: right
113.6372 	EXP 	fixation: autoDraw = False
113.6372 	EXP 	grating: autoDraw = False
113.6375 	EXP 	window1: recordFrameIntervals = False
114.6111 	EXP 	fixation: autoDraw = True
115.6204 	EXP 	fixation: autoDraw = False
115.6375 	EXP 	grating: autoDraw = True
115.6375 	EXP 	grating: tex = 'sin'
115.9370 	EXP 	grating: autoDraw = False
116.0063 	EXP 	window1: recordFrameIntervals = False
116.0081 	DATA 	Keypress: left
116.0203 	EXP 	fixation: autoDraw = False
116.0203 	EXP 	grating: autoDraw = False
116.0206 	EXP 	window1: recordFrameIntervals = False
116.9968 	EXP 	fixation: autoDraw = True
118.0036 	EXP 	fixation: autoDraw = False
118.0203 	EXP 	grating: autoDraw = True
118.0203 	EXP 	grating: tex = 'sin'
118.3203 	EXP 	grating: autoDraw = False
118.5229 	EXP 	window1: recordFrameIntervals = False
118.5244 	DATA 	Keypress: left
118.5369 	EXP 	fixation: autoDraw = False
118.5369 	EXP 	grating: autoDraw = False
118.5372 	EXP 	window1: recordFrameIntervals = False
119.5113 	EXP 	fixation: autoDraw = True
120.5202 	EXP 	fixation: autoDraw = False
120.5370 	EXP 	grating: autoDraw = True
120.5370 	EXP 	grating: tex = 'sin'
120.8368 	EXP 	grating: autoDraw = False
120.9562 	EXP 	window1: recordFrameIntervals = False
120.9577 	DATA 	Keypress: right
120.9701 	EXP 	fixation: autoDraw = False
120.9701 	EXP 	grating: autoDraw = False
120.9705 	EXP 	window1: recordFrameIntervals = False
121.9462 	EXP 	fixation: autoDraw = True
122.9534 	EXP 	fixation: autoDraw = False
122.9702 	EXP 	grating: autoDraw = True
122.9702 	EXP 	grating: tex = 'sin'
123.2700 	EXP 	grating: autoDraw = False
123.3560 	EXP 	window1: recordFrameIntervals = False
123.3581 	DATA 	Keypress: left
123.3701 	EXP 	fixation: autoDraw = False
123.3701 	EXP 	grating: autoDraw = False
123.3705 	EXP 	window1: recordFrameIntervals = False
124.3449 	EXP 	fixation: autoDraw = True
125.3532 	EXP 	fixation: autoDraw = False
125.3701 	EXP 	grating: autoDraw = True
125.3701 	EXP 	grating: tex = 'sin'
125.6699 	EXP 	grating: autoDraw = False
125.9058 	EXP 	window1: recordFrameIntervals = False
125.9075 	DATA 	Keypress: left
125.9199 	EXP 	fixation: autoDraw = False
125.9199 	EXP 	grating: autoDraw = False
125.9202 	EXP 	window1: recordFrameIntervals = False
126.8949 	EXP 	fixation: autoDraw = True
127.9031 	EXP 	fixation: autoDraw = False
127.9200 	EXP 	grating: autoDraw = True
127.9200 	EXP 	grating: tex = 'sin'
128.2204 	EXP 	grating: autoDraw = False
128.5557 	EXP 	window1: recordFrameIntervals = False
128.5572 	DATA 	Keypress: right
128.5698 	EXP 	fixation: autoDraw = False
128.5698 	EXP 	grating: autoDraw = False
128.5700 	EXP 	window1: recordFrameIntervals = False
129.5461 	EXP 	fixation: autoDraw = True
130.5530 	EXP 	fixation: autoDraw = False
130.5698 	EXP 	grating: autoDraw = True
130.5698 	EXP 	grating: tex = 'sin'
130.8697 	EXP 	grating: autoDraw = False
130.9555 	EXP 	window1: recordFrameIntervals = False
130.9570 	DATA 	Keypress: left
130.9697 	EXP 	fixation: autoDraw = False
130.9697 	EXP 	grating: autoDraw = False
130.9700 	EXP 	window1: recordFrameIntervals = False
131.9454 	EXP 	fixation: autoDraw = True
132.9530 	EXP 	fixation: autoDraw = False
132.9699 	EXP 	grating: autoDraw = True
132.9699 	EXP 	grating: tex = 'sin'
133.2697 	EXP 	grating: autoDraw = False
133.4224 	EXP 	window1: recordFrameIntervals = False
133.4238 	DATA 	Keypress: left
133.4363 	EXP 	fixation: autoDraw = False
133.4363 	EXP 	grating: autoDraw = False
133.4366 	EXP 	window1: recordFrameIntervals = False
134.4124 	EXP 	fixation: autoDraw = True
135.4196 	EXP 	fixation: autoDraw = False
135.4364 	EXP 	grating: autoDraw = True
135.4364 	EXP 	grating: tex = 'sin'
135.7362 	EXP 	grating: autoDraw = False
135.8556 	EXP 	window1: recordFrameIntervals = False
135.8571 	DATA 	Keypress: left
135.8695 	EXP 	fixation: autoDraw = False
135.8695 	EXP 	grating: autoDraw = False
135.8698 	EXP 	window1: recordFrameIntervals = False
136.8459 	EXP 	fixation: autoDraw = True
137.8527 	EXP 	fixation: autoDraw = False
137.8696 	EXP 	grating: autoDraw = True
137.8696 	EXP 	grating: tex = 'sin'
138.1694 	EXP 	grating: autoDraw = False
138.3222 	EXP 	window1: recordFrameIntervals = False
138.3236 	DATA 	Keypress: right
138.3361 	EXP 	fixation: autoDraw = False
138.3361 	EXP 	grating: autoDraw = False
138.3364 	EXP 	window1: recordFrameIntervals = False
139.3120 	EXP 	fixation: autoDraw = True
140.3193 	EXP 	fixation: autoDraw = False
140.3362 	EXP 	grating: autoDraw = True
140.3362 	EXP 	grating: tex = 'sin'
140.6360 	EXP 	grating: autoDraw = False
140.7724 	DATA 	Keypress: right
140.7886 	EXP 	window1: recordFrameIntervals = False
140.8027 	EXP 	fixation: autoDraw = False
140.8027 	EXP 	grating: autoDraw = False
140.8029 	EXP 	window1: recordFrameIntervals = False
141.7773 	EXP 	fixation: autoDraw = True
142.7858 	EXP 	fixation: autoDraw = False
142.8027 	EXP 	grating: autoDraw = True
142.8027 	EXP 	grating: tex = 'sin'
143.1025 	EXP 	grating: autoDraw = False
143.2851 	EXP 	window1: recordFrameIntervals = False
143.2857 	DATA 	Keypress: left
143.2875 	EXP 	fixation: autoDraw = False
143.2875 	EXP 	grating: autoDraw = False
143.2876 	EXP 	window1: recordFrameIntervals = False
144.2740 	EXP 	fixation: autoDraw = True
145.2859 	EXP 	fixation: autoDraw = False
145.2859 	EXP 	grating: autoDraw = True
145.2859 	EXP 	grating: tex = 'sin'
145.5857 	EXP 	grating: autoDraw = False
145.6890 	EXP 	window1: recordFrameIntervals = False
145.6902 	DATA 	Keypress: right
145.7025 	EXP 	fixation: autoDraw = False
145.7025 	EXP 	grating: autoDraw = False
145.7028 	EXP 	window1: recordFrameIntervals = False
146.6778 	EXP 	fixation: autoDraw = True
147.6857 	EXP 	fixation: autoDraw = False
147.7025 	EXP 	grating: autoDraw = True
147.7025 	EXP 	grating: tex = 'sin'
148.0024 	EXP 	grating: autoDraw = False
148.2213 	EXP 	window1: recordFrameIntervals = False
148.2228 	DATA 	Keypress: left
148.2357 	EXP 	fixation: autoDraw = False
148.2357 	EXP 	grating: autoDraw = False
148.2360 	EXP 	window1: recordFrameIntervals = False
149.2096 	EXP 	fixation: autoDraw = True
150.2188 	EXP 	fixation: autoDraw = False
150.2357 	EXP 	grating: autoDraw = True
150.2357 	EXP 	grating: tex = 'sin'
150.5356 	EXP 	grating: autoDraw = False
150.6048 	EXP 	window1: recordFrameIntervals = False
150.6063 	DATA 	Keypress: right
150.6188 	EXP 	fixation: autoDraw = False
150.6188 	EXP 	grating: autoDraw = False
150.6191 	EXP 	window1: recordFrameIntervals = False
151.5939 	EXP 	fixation: autoDraw = True
152.6022 	EXP 	fixation: autoDraw = False
152.6190 	EXP 	grating: autoDraw = True
152.6190 	EXP 	grating: tex = 'sin'
152.9187 	EXP 	grating: autoDraw = False
152.9880 	EXP 	window1: recordFrameIntervals = False
152.9894 	DATA 	Keypress: left
153.0021 	EXP 	fixation: autoDraw = False
153.0021 	EXP 	grating: autoDraw = False
153.0024 	EXP 	window1: recordFrameIntervals = False
153.9770 	EXP 	fixation: autoDraw = True
154.9853 	EXP 	fixation: autoDraw = False
155.0021 	EXP 	grating: autoDraw = True
